CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,Recruits_Wild,Recruits_Total,,,,
CK-01,Okanagan_1.x,Chinook,2006,34,34,33,33,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2007,7,7,7,7,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2008,14,14,11,11,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2009,6,6,6,6,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2010,5,5,5,5,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2011,21,21,17,17,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2012,11,11,10,10,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2013,40,40,35,35,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2014,53,53,46,46,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2015,61,61,56,56,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2016,40,40,38,38,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2017,55,55,51,51,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2018,10,10,9,9,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2019,15,15,14,14,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2020,79,79,73,73,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2021,73,73,73,73,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2022,23,23,23,23,NA,NA,,,,
CK-01,Okanagan_1.x,Chinook,2023,20,20,12,12,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1980,18,18,18,18,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1981,83,83,83,83,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1982,75,75,75,75,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1983,57,57,57,57,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1984,155,155,155,155,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1985,150,150,150,150,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1986,36,36,36,36,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1987,4,4,4,4,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1988,37,37,37,37,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1989,0.01,0.01,0.01,0.01,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1990,58,58,58,58,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1991,88,88,88,88,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1992,19,19,19,19,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1993,34,34,34,34,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1994,34,34,34,34,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1995,103,103,103,103,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1996,123,123,123,123,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1997,195,195,195,195,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1998,173,173,173,173,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,1999,73,73,73,73,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2000,186,186,186,186,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2001,150,150,150,150,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2002,76,76,76,76,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2003,115,115,115,115,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2004,60,60,60,60,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2005,45,45,45,45,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2006,46,46,46,46,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2007,112,112,112,112,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2008,31,31,31,31,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2009,65,65,65,65,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2010,317,317,317,317,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2011,266,266,266,266,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2012,231,231,231,231,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2013,202,202,202,202,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2014,106,106,106,106,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2015,113,113,113,113,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2016,157,157,157,157,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2017,101,101,101,101,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2018,76,76,76,76,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2019,413,413,413,413,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2020,432,432,432,432,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2021,304,304,304,304,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2022,451,451,451,451,NA,NA,,,,
CK-02,Boundary Bay_FA_0.3,Chinook,2023,596,596,596,596,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1984,119069,119069,119069,119069,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1985,172698,172698,172698,172698,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1986,160997,160997,160997,160997,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1987,76394,76394,76394,76394,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1988,33639,33639,33639,33639,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1989,72305,72305,72305,72305,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1990,172905,172905,172905,172905,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1991,87866,87866,87866,87866,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1992,124604,124604,124604,124604,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1993,107495,107495,107495,107495,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1994,97896,97896,97896,97896,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1995,26746,26746,26746,26746,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1996,32570,32570,32570,32570,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1997,65311,65311,65311,65311,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1998,185072,185072,185072,185072,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,1999,95973,95973,95973,95973,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,2000,80480,80480,80480,80480,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,2001,107986,107986,107986,107986,NA,NA,,,,
CK_03,Lower Fraser River_FA_0.3,Chinook,2002,86783,86783,86783,86783,NA,NA,,,,
