Variable,Description
CU_ID,Unique and standardized identifier for each Pacific salmon Conservation Unit (CU)
CU_Name,Full offical CU name
Species,Species of salmon
Year,Escapement year
SpnForAbd_Total,Total spawner abundance that can be used to calculate abundance-based WSP metrics (relative abundance and absolute abundance)
SpnForTrend_Total,Total spawner abundance that can be used to calculate trend-based WSP metrics (long-term trend and percent change)
SpnForAbd_Wild,Wild spawner abundance that can be used to calculate abundance-based WSP metrics (relative abundance and absolute abundance)
SpnForTrend_Wild,Wild spawner abundance that can be used to calculate trend-based WSP metrics (long-term trend and percent change)
Recruits_Wild,Wild recruitment from the spawner brood year
Recruits_Total,Total recruitment from the spawner brood year
