"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","GenAvgSpnForAbd","IntStatusRaw","IntStatusRaw_Short","IntStatus_Short","RapidStatus","BinLabel","BinPath","RapidScore","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelAbdCat","AbsAbdCat","RelAbd_LBM","RelAbd_UBM","SpnForAbd_Total","SpnForTrend_Total","ConfidenceRating","IntStatus5","IntStatus3","IntStatus2"
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2006,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2007,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2008,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2009,6,6,NA,0.0111119167457077,NA,NA,NA,NA,NA,0.00111119167457077,11.1119167457077,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,6,6,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2010,5,5,NA,0.00693270938109998,NA,NA,NA,NA,NA,0.000693270938109998,6.93270938109998,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,5,5,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2011,17,17,NA,0.0086544747526523,NA,NA,NA,NA,NA,0.00086544747526523,8.6544747526523,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,21,21,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2012,10,10,NA,0.00845069726622771,NA,NA,NA,NA,NA,0.000845069726622771,8.45069726622771,"Red","R","R","Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,11,11,"High","Red","Red","Red"
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2013,35,35,NA,0.0131332358201094,NA,NA,NA,NA,NA,0.00131332358201094,13.1332358201094,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,40,40,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2014,46,46,NA,0.0228727666534054,NA,NA,NA,NA,NA,0.00228727666534054,22.8727666534054,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,53,53,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2015,56,56,NA,0.0308143829670097,NA,NA,NA,NA,NA,0.00308143829670097,30.8143829670097,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,61,61,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2016,38,38,NA,0.0430228696704009,NA,NA,NA,NA,NA,0.00430228696704009,43.0228696704009,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,NA,NA,NA,NA,"Red",NA,NA,40,40,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2017,51,51,NA,0.0472688359959514,NA,484.1536,0.6333,NA,NA,0.00472688359959514,47.2688359959514,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,"Green",NA,NA,NA,"Red",NA,NA,55,55,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2018,9,9,NA,0.0314373606463772,NA,461.0961,0.3667,NA,NA,0.00314373606463772,31.4373606463772,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,"Green",NA,NA,NA,"Red",NA,NA,10,10,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2019,14,14,NA,0.0222295708956604,NA,213.3604,3.6667,NA,NA,0.00222295708956604,22.2295708956604,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,NA,"Green",NA,NA,NA,"Red",NA,NA,15,15,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2020,73,73,NA,0.0261707335204165,135,350.9124,1.9667,NA,NA,0.00261707335204165,26.1707335204165,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,"Green","Green",NA,NA,NA,"Red",NA,NA,79,79,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2021,73,73,NA,0.0286255649324776,136,299.552,2.5,NA,NA,0.00286255649324776,28.6255649324776,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,"Green","Green",NA,NA,NA,"Red",NA,NA,73,73,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2022,23,23,NA,0.036193067934062,171,75.1685,12.4667,NA,NA,0.0036193067934062,36.193067934062,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,"Green","Green",NA,NA,NA,"Red",NA,NA,23,23,"High",NA,NA,NA
"CK-01","Chinook","Okanagan_1.x","Abs_Abd",2023,12,12,NA,0.0348248055843251,170,-7.0357,38.1667,NA,NA,0.00348248055843251,34.8248055843251,NA,NA,NA,"Red","Node3","Have AbsLBM, then AbsLBM < 1.5",5,"Green","Green",NA,NA,NA,"Red",NA,NA,20,20,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",1995,26746,26746,5.02381853256118,76.9548522817721,NA,-49.3151,76.7333,NA,1.20603767994252,7.69548522817721,76954.8522817721,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,NA,"Red",NA,NA,"Green","Green",15318,63808,26746,26746,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",1996,32570,32570,3.59215764068764,55.0246707400532,NA,-62.4466,88.8333,NA,0.862347522881977,5.50246707400532,55024.6707400532,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,NA,"Red",NA,NA,"Amber","Green",15318,63808,32570,32570,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",1997,65311,65311,3.17142835384404,48.579939524183,NA,-49.964,75.8,NA,0.761345591840881,4.8579939524183,48579.939524183,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,NA,"Red",NA,NA,"Amber","Green",15318,63808,65311,65311,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",1998,185072,185072,3.71876596414755,56.9640570388122,65,3.3975,30.9333,NA,0.892741616079679,5.69640570388122,56964.0570388122,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green",NA,NA,"Amber","Green",15318,63808,185072,185072,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",1999,95973,95973,5.11824893820281,78.4013372353907,89,12.3122,26.0667,NA,1.22870701534903,7.84013372353907,78401.3372353907,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",15318,63808,95973,95973,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",2000,80480,80480,6.4171022190989,98.2971717921569,113,-24.5728,49.7,NA,1.54051485381389,9.82971717921569,98297.1717921569,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Amber",NA,NA,"Green","Green",15318,63808,80480,80480,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",2001,107986,107986,7.27669609789849,111.464430827609,126,-21.3815,46.5,NA,1.74687234872757,11.1464430827609,111464.430827609,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Amber",NA,NA,"Green","Green",15318,63808,107986,107986,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",2002,86783,86783,6.02154203997149,92.2379809682833,104,11.802,22.5333,NA,1.44555511798338,9.22379809682833,92237.9809682833,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",15318,63808,86783,86783,"High",NA,NA,NA
"CK-03","Chinook","Lower Fraser River_FA_0.3","Abs_Abd",2003,243351,243351,7.59851524157365,116.394056470425,125,83.6638,7.7333,NA,1.82412952091313,11.6394056470425,116394.056470425,NA,NA,NA,"Green","Node36","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM >= 1.1",1,"Green","Green",NA,NA,"Green","Green",15318,63808,243351,243351,"High",NA,NA,NA
