"CU_ID","Year","Value"
"CK-01",1995,NA
"CK-01",1996,NA
"CK-01",1997,NA
"CK-01",1998,NA
"CK-01",1999,NA
"CK-01",2000,NA
"CK-01",2001,NA
"CK-01",2002,NA
"CK-01",2003,NA
"CK-01",2004,NA
"CK-01",2005,NA
"CK-01",2006,NA
"CK-01",2007,NA
"CK-01",2008,NA
"CK-01",2009,11.1119167457077
"CK-01",2010,6.93270938109998
"CK-01",2011,8.6544747526523
"CK-01",2012,8.45069726622771
"CK-01",2013,13.1332358201094
"CK-01",2014,22.8727666534054
"CK-01",2015,30.8143829670097
"CK-01",2016,43.0228696704009
"CK-01",2017,47.2688359959514
"CK-01",2018,31.4373606463772
"CK-01",2019,22.2295708956604
"CK-01",2020,26.1707335204165
"CK-01",2021,28.6255649324776
"CK-01",2022,36.193067934062
"CK-01",2023,34.8248055843251
"CK-03",1995,76954.8522817721
"CK-03",1996,55024.6707400532
"CK-03",1997,48579.939524183
"CK-03",1998,56964.0570388122
"CK-03",1999,78401.3372353907
"CK-03",2000,98297.1717921569
"CK-03",2001,111464.430827609
"CK-03",2002,92237.9809682833
"CK-03",2003,116394.056470425
"CK-03",2004,132522.836330351
"CK-03",2005,123082.222298124
"CK-03",2006,110091.495406788
"CK-03",2007,82479.8010088294
"CK-03",2008,60704.696273179
"CK-03",2009,59213.6905358498
"CK-03",2010,69133.3451176612
"CK-03",2011,77661.4468723986
"CK-03",2012,80598.691908493
"CK-03",2013,71783.0930587654
"CK-03",2014,58333.6678816767
"CK-03",2015,31484.7087118854
"CK-03",2016,31215.763826511
"CK-03",2017,28071.8506075743
"CK-03",2018,28184.2137165089
"CK-03",2019,40441.3860569828
"CK-03",2020,39625.6629729738
"CK-03",2021,42660.4270296815
"CK-03",2022,49493.2047108151
"CK-03",2023,66871.1525650653
"CK-04",1995,NA
"CK-04",1996,NA
"CK-04",1997,NA
"CK-04",1998,NA
"CK-04",1999,NA
"CK-04",2000,NA
"CK-04",2001,NA
"CK-04",2002,NA
"CK-04",2003,NA
"CK-04",2004,NA
"CK-04",2005,NA
"CK-04",2006,NA
"CK-04",2007,NA
"CK-04",2008,NA
"CK-04",2009,NA
"CK-04",2010,NA
"CK-04",2011,NA
"CK-04",2012,666.76470658472
"CK-04",2013,660.96587172361
"CK-04",2014,598.153872405279
"CK-04",2015,480.415425463115
"CK-04",2016,364.934069635466
"CK-04",2017,319.30630045628
"CK-04",2018,292.301054925136
"CK-04",2019,250.769450564331
"CK-04",2020,206.209447866003
"CK-04",2021,183.829043578584
"CK-04",2022,178.340783698966
"CK-04",2023,213.851261050277
"CK-05",1995,NA
"CK-05",1996,NA
"CK-05",1997,NA
"CK-05",1998,NA
"CK-05",1999,NA
"CK-05",2000,NA
"CK-05",2001,NA
"CK-05",2002,NA
"CK-05",2003,NA
"CK-05",2004,NA
"CK-05",2005,NA
"CK-05",2006,NA
"CK-05",2007,NA
"CK-05",2008,NA
"CK-05",2009,153.400368796192
"CK-05",2010,130.88160707952
"CK-05",2011,126.504544847804
"CK-05",2012,126.504544847804
"CK-05",2013,NA
"CK-05",2014,NA
"CK-05",2015,NA
"CK-05",2016,NA
"CK-05",2017,NA
"CK-05",2018,NA
"CK-05",2019,NA
"CK-05",2020,55.4752460380541
"CK-05",2021,62.0811440008112
"CK-05",2022,42.4025431109945
"CK-05",2023,35.2009279899318
"CK-06",1995,NA
"CK-06",1996,NA
"CK-06",1997,NA
"CK-06",1998,NA
"CK-06",1999,NA
"CK-06",2000,NA
"CK-06",2001,NA
"CK-06",2002,NA
"CK-06",2003,NA
"CK-06",2004,NA
"CK-06",2005,NA
"CK-06",2006,NA
"CK-06",2007,NA
"CK-06",2008,NA
"CK-06",2009,NA
"CK-06",2010,NA
"CK-06",2011,NA
"CK-06",2012,NA
"CK-06",2013,NA
"CK-06",2014,NA
"CK-06",2015,NA
"CK-06",2016,NA
"CK-06",2017,NA
"CK-06",2018,NA
"CK-06",2019,49.3844266392718
"CK-06",2020,46.012224732011
"CK-06",2021,48.1122020825091
"CK-06",2022,31.1783856282462
"CK-06",2023,41.3438004328716
"CK-07",1995,NA
"CK-07",1996,NA
"CK-07",1997,NA
"CK-07",1998,NA
"CK-07",1999,131.277141725489
"CK-07",2000,167.652302181903
"CK-07",2001,237.09615950872
"CK-07",2002,367.414025982428
"CK-07",2003,508.945543556206
"CK-07",2004,NA
"CK-07",2005,NA
"CK-07",2006,NA
"CK-07",2007,NA
"CK-07",2008,435.304601757352
"CK-07",2009,506.138098618772
"CK-07",2010,622.876936332522
"CK-07",2011,767.679817656592
"CK-07",2012,652.61743669066
"CK-07",2013,751.247671628281
"CK-07",2014,650.101057773499
"CK-07",2015,618.712262993636
"CK-07",2016,465.390579234431
"CK-07",2017,237.71746909821
"CK-07",2018,17.4297867292522
"CK-07",2019,12.2493670301356
"CK-07",2020,8.64091354509432
"CK-07",2021,7.07998874526123
"CK-07",2022,55.5876694667456
"CK-07",2023,38.4316475951119
"CK-08",1995,NA
"CK-08",1996,NA
"CK-08",1997,NA
"CK-08",1998,NA
"CK-08",1999,NA
"CK-08",2000,NA
"CK-08",2001,NA
"CK-08",2002,NA
"CK-08",2003,NA
"CK-08",2004,79.3780524683307
"CK-08",2005,NA
"CK-08",2006,NA
"CK-08",2007,NA
"CK-08",2008,NA
"CK-08",2009,NA
"CK-08",2010,NA
"CK-08",2011,NA
"CK-08",2012,NA
"CK-08",2013,15.2564248868461
"CK-08",2014,9.94418030104783
"CK-08",2015,12.3877730701304
"CK-08",2016,13.5146402076861
"CK-08",2017,8.88873204307607
"CK-08",2018,7.0928792742275
"CK-08",2019,14.8331902217743
"CK-08",2020,24.3139761216292
"CK-08",2021,27.2389556463144
"CK-08",2022,43.7998018099793
"CK-08",2023,69.16372246676
"CK-09",1995,NA
"CK-09",1996,NA
"CK-09",1997,NA
"CK-09",1998,NA
"CK-09",1999,NA
"CK-09",2000,NA
"CK-09",2001,NA
"CK-09",2002,NA
"CK-09",2003,NA
"CK-09",2004,152.252823903816
"CK-09",2005,171.328419512528
"CK-09",2006,170.911894924429
"CK-09",2007,110.819024349024
"CK-09",2008,118.079594127373
"CK-09",2009,110.73914378015
"CK-09",2010,119.802688748998
"CK-09",2011,91.8789491860723
"CK-09",2012,86.1672691160346
"CK-09",2013,59.476604357236
"CK-09",2014,59.9512119256537
"CK-09",2015,55.4156667646972
"CK-09",2016,39.5262980319657
"CK-09",2017,34.9503714100967
"CK-09",2018,35.1535849428856
"CK-09",2019,43.6775676543172
"CK-09",2020,37.9314633826954
"CK-09",2021,44.2749437741431
"CK-09",2022,56.8815768463052
"CK-09",2023,82.231170672987
"CK-10",1995,NA
"CK-10",1996,NA
"CK-10",1997,NA
"CK-10",1998,NA
"CK-10",1999,9653.55807879075
"CK-10",2000,8108.13085319381
"CK-10",2001,6976.90383305481
"CK-10",2002,6427.62213940915
"CK-10",2003,7245.73338309643
"CK-10",2004,6822.17609942346
"CK-10",2005,6294.79317952822
"CK-10",2006,5887.11939227705
"CK-10",2007,4354.36638332539
"CK-10",2008,3553.42288106008
"CK-10",2009,3190.75085673933
"CK-10",2010,3249.758010763
"CK-10",2011,3007.95203437521
"CK-10",2012,3320.87971053362
"CK-10",2013,3256.14701668033
"CK-10",2014,4467.35222748343
"CK-10",2015,4828.66331787738
"CK-10",2016,4697.21990515908
"CK-10",2017,4178.75318072966
"CK-10",2018,3814.22327433052
"CK-10",2019,2216.40894153456
"CK-10",2020,2026.42766704587
"CK-10",2021,2281.66793447909
"CK-10",2022,3016.32086946188
"CK-10",2023,3270.00479992167
"CK-11",1995,NA
"CK-11",1996,NA
"CK-11",1997,NA
"CK-11",1998,NA
"CK-11",1999,NA
"CK-11",2000,NA
"CK-11",2001,NA
"CK-11",2002,NA
"CK-11",2003,19490.6792259634
"CK-11",2004,22128.2162037263
"CK-11",2005,21906.0950672955
"CK-11",2006,20276.8069617679
"CK-11",2007,17001.015536722
"CK-11",2008,13980.8531354829
"CK-11",2009,12521.8971950049
"CK-11",2010,12964.9022069766
