"CU_ID","Species","Stock","Label","Year","Metric","Value","LBM","UBM","Status","Data_Type"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1995,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1996,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1997,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1998,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1999,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2000,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2001,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2002,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2003,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2004,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2005,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2006,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2007,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2008,"RelAbd",NA,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2009,"RelAbd",11.1119167457077,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2010,"RelAbd",6.93270938109998,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2011,"RelAbd",8.6544747526523,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2012,"RelAbd",8.45069726622771,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2013,"RelAbd",13.1332358201094,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2014,"RelAbd",22.8727666534054,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2015,"RelAbd",30.8143829670097,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2016,"RelAbd",43.0228696704009,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2017,"RelAbd",47.2688359959514,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2018,"RelAbd",31.4373606463772,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2019,"RelAbd",22.2295708956604,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2020,"RelAbd",26.1707335204165,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2021,"RelAbd",28.6255649324776,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2022,"RelAbd",36.193067934062,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2023,"RelAbd",34.8248055843251,NA,NA,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1995,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1996,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1997,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1998,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1999,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2000,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2001,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2002,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2003,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2004,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2005,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2006,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2007,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
"CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2008,"AbsAbd",NA,1000,10000,NA,"Abs_Abd"
