"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Status","DataType","Value"
"1","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1995,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"2","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1996,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"3","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1997,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"4","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1998,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"5","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",1999,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"6","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2000,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"7","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2001,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"8","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2002,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"9","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2003,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"10","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2004,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"11","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2005,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"12","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2006,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"13","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2007,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"14","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2008,"RelLBM",NA,NA,NA,NA,"Abs_Abd",NA
"15","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2009,"RelLBM",11.1119167457077,NA,NA,NA,"Abs_Abd",NA
"16","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2010,"RelLBM",6.93270938109998,NA,NA,NA,"Abs_Abd",NA
"17","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2011,"RelLBM",8.6544747526523,NA,NA,NA,"Abs_Abd",NA
"18","CK-01","Chinook","Okanagan_1.x","SpnForAbd_Wild",2012,"RelLBM",8.45069726622771,NA,NA,NA,"Abs_Abd",NA
